volume,vw,open,close,high,low,timestamp,n
5641164.0,85.7055,85.0,93.5,93.5,84.105,2025-07-31 13:58:00,3872
3269418.0,98.7423,93.5,100.49,105.0,93.3,2025-07-31 14:03:00,26034
2961982.0,107.3039,100.6536,103.83,110.0,100.46,2025-07-31 14:04:00,36895
1900235.0,100.1931,103.83,99.5721,104.88,95.38,2025-07-31 14:05:00,24851
1426380.0,100.8158,99.5937,102.07,106.05,97.17,2025-07-31 14:06:00,17958
1090504.0,104.7213,102.07,108.835,109.0,101.03,2025-07-31 14:07:00,15136
650215.0,110.4477,108.83,112.77,112.77,107.02,2025-07-31 14:08:00,7609
1147402.0,110.1959,112.78,107.7964,112.8,105.0,2025-07-31 14:13:00,10579
1203935.0,109.9098,107.45,112.06,115.0,105.0,2025-07-31 14:14:00,17562
1201814.0,111.8962,111.8796,109.6,116.38,108.0,2025-07-31 14:15:00,16827
751006.0,108.8893,109.85,108.07,111.6182,107.0,2025-07-31 14:16:00,11641
601212.0,108.9761,108.42,110.78,111.4,107.03,2025-07-31 14:17:00,9172
409752.0,109.7813,110.54,109.8947,111.0,108.33,2025-07-31 14:18:00,7384
640841.0,108.896,110.0,107.54,110.17,107.35,2025-07-31 14:19:00,9529
1064130.0,106.1226,108.08,103.8,110.0,102.2501,2025-07-31 14:20:00,15266
1020797.0,101.9433,103.84,106.15,108.8,100.0,2025-07-31 14:21:00,14614
451464.0,104.3772,106.18,102.06,106.75,102.0,2025-07-31 14:22:00,7684
298630.0,103.1255,102.385,103.42,104.79,102.0,2025-07-31 14:23:00,5621
283290.0,103.5111,103.42,103.5065,104.69,102.31,2025-07-31 14:24:00,5205
338750.0,102.5553,103.28,102.85,103.9,102.0,2025-07-31 14:25:00,5900
481883.0,101.3571,102.8894,100.9,102.95,100.3,2025-07-31 14:26:00,8245
647466.0,102.9388,100.8,104.4,105.0,100.02,2025-07-31 14:27:00,8861
299082.0,104.2267,104.14,103.67,105.0,103.23,2025-07-31 14:28:00,5393
293981.0,102.4445,103.585,102.79,103.7,101.2,2025-07-31 14:29:00,4655
471196.0,105.445,102.79,106.0,107.07,102.7825,2025-07-31 14:30:00,7076
252375.0,106.0268,105.74,105.83,106.91,105.27,2025-07-31 14:31:00,4956
206120.0,105.8341,105.63,105.92,106.4,105.23,2025-07-31 14:32:00,3956
260383.0,104.2376,106.2243,104.2726,106.23,103.0,2025-07-31 14:33:00,4865
159988.0,104.4643,104.79,104.78,105.5,103.5,2025-07-31 14:34:00,3162
406247.0,106.1328,104.78,107.25,108.0,104.34,2025-07-31 14:35:00,5248
281011.0,107.1546,107.65,107.08,108.0,106.24,2025-07-31 14:36:00,4358
335197.0,106.5883,107.286,106.7,107.5,105.2,2025-07-31 14:37:00,4639
304277.0,107.6794,106.92,107.6776,108.6,106.5001,2025-07-31 14:38:00,4842
321692.0,107.138,107.5,106.87,108.32,105.79,2025-07-31 14:39:00,4834
199033.0,105.6833,107.01,105.73,107.01,105.0,2025-07-31 14:40:00,3754
195757.0,105.4824,105.6536,105.7487,106.241,105.0,2025-07-31 14:41:00,3415
336230.0,104.9692,105.71,103.6,106.5,103.44,2025-07-31 14:42:00,4787
289041.0,103.3976,103.54,103.1,104.75,103.0,2025-07-31 14:43:00,4934
203078.0,103.5896,103.1,103.681,104.35,102.5,2025-07-31 14:44:00,3363
183972.0,103.6029,104.01,103.55,104.21,103.0,2025-07-31 14:45:00,3010
136414.0,103.5182,103.51,103.46,104.0,103.01,2025-07-31 14:46:00,2442
306903.0,102.9999,103.59,102.56,103.59,102.26,2025-07-31 14:47:00,4127
383875.0,101.9003,102.52,101.35,103.13,101.2,2025-07-31 14:48:00,5625
186200.0,102.0871,101.6,102.505,102.69,101.5,2025-07-31 14:49:00,3144
359127.0,103.9709,102.62,104.0527,105.0,102.515,2025-07-31 14:50:00,4191
158192.0,103.9844,104.1746,104.2,104.499,103.34,2025-07-31 14:51:00,2592
173195.0,103.799,104.0,103.51,104.4,103.22,2025-07-31 14:52:00,2454
252499.0,104.0499,103.51,104.69,105.0,103.3,2025-07-31 14:53:00,3319
180591.0,104.6079,104.99,104.36,105.0,104.01,2025-07-31 14:54:00,2609
165183.0,103.8285,104.365,103.49,104.49,103.1,2025-07-31 14:55:00,2673
217900.0,104.4499,103.7523,104.7,105.0,103.27,2025-07-31 14:56:00,2849
339259.0,105.8157,104.88,106.24,106.5,104.87,2025-07-31 14:57:00,4134
308253.0,106.6549,106.165,106.935,107.5,105.39,2025-07-31 14:58:00,4041
181639.0,106.8501,107.06,106.3895,107.5,106.02,2025-07-31 14:59:00,2790
270798.0,106.9296,106.295,107.74,107.96,105.535,2025-07-31 15:00:00,3515
135005.0,106.9853,107.59,106.8998,107.74,106.45,2025-07-31 15:01:00,2452
157274.0,106.4258,106.81,106.62,107.0,105.96,2025-07-31 15:02:00,2600
244001.0,107.1582,106.6,107.37,107.55,106.6,2025-07-31 15:03:00,3099
440176.0,107.7411,107.32,106.815,108.5,106.5,2025-07-31 15:04:00,5275
185610.0,107.5027,106.81,107.82,108.47,106.29,2025-07-31 15:05:00,2801
282275.0,108.6289,107.75,109.19,109.4,107.5,2025-07-31 15:06:00,4084
260946.0,109.3015,109.3,109.075,109.75,108.19,2025-07-31 15:07:00,3860
175597.0,109.2243,109.075,109.2,109.55,108.8,2025-07-31 15:08:00,2793
247046.0,108.4567,109.13,108.53,109.47,107.25,2025-07-31 15:09:00,3539
221609.0,108.1731,108.734,107.99,109.2,107.1,2025-07-31 15:10:00,3279
128109.0,107.8941,107.8,107.795,108.65,107.37,2025-07-31 15:11:00,2136
103590.0,108.0297,107.7,108.2705,108.5,107.56,2025-07-31 15:12:00,1864
167683.0,108.7918,108.49,108.8436,109.14,108.24,2025-07-31 15:13:00,2367
241915.0,109.4926,108.8564,109.24,110.0,108.8564,2025-07-31 15:14:00,3430
231615.0,109.7727,109.07,109.8,110.0,108.84,2025-07-31 15:15:00,3360
386720.0,110.1301,109.83,110.51,110.84,109.6,2025-07-31 15:16:00,4853
320577.0,109.0898,110.385,108.4846,110.51,107.96,2025-07-31 15:17:00,4586
192290.0,108.3839,108.26,108.0,109.0,107.77,2025-07-31 15:18:00,3027
182171.0,107.8631,107.98,107.3,108.49,107.3,2025-07-31 15:19:00,2792
150024.0,107.4384,107.37,107.5661,107.988,107.1,2025-07-31 15:20:00,2161
128553.0,107.4597,107.25,107.6,107.68,107.24,2025-07-31 15:21:00,2062
130106.0,108.055,107.5,108.2,108.78,107.34,2025-07-31 15:22:00,2042
134154.0,108.6885,108.37,108.3739,108.99,108.23,2025-07-31 15:23:00,2175
211833.0,109.2068,108.45,108.98,109.82,108.26,2025-07-31 15:24:00,3007
190192.0,108.4589,109.26,107.7,109.4,107.6,2025-07-31 15:25:00,2856
101423.0,107.8926,107.6,108.225,108.43,107.43,2025-07-31 15:26:00,1949
92288.0,108.3365,108.19,108.218,108.75,108.0,2025-07-31 15:27:00,1615
166239.0,108.9532,108.11,109.388,109.4,108.05,2025-07-31 15:28:00,2299
152650.0,109.4116,109.19,109.48,109.82,109.0,2025-07-31 15:29:00,2253
151552.0,109.3731,109.5,109.005,109.82,108.6,2025-07-31 15:30:00,2381
