volume,vw,open,close,high,low,timestamp,n
6008992.0,69.9893,69.0,75.9,75.9,64.0,2025-06-05 12:38:00,6941
58069.0,75.9,75.9,75.9,75.9,75.9,2025-06-05 12:39:00,375
2370943.0,81.557,75.9,88.88,88.88,75.9,2025-06-05 12:44:00,14690
77902.0,88.8791,88.88,88.88,88.88,88.88,2025-06-05 12:45:00,593
2042907.0,92.383,90.65,95.98,96.93,89.77,2025-06-05 12:50:00,15969
1604820.0,97.3396,95.3293,93.25,103.75,90.0,2025-06-05 12:51:00,17121
914718.0,92.2653,93.25,92.5598,95.99,90.0,2025-06-05 12:52:00,9644
999926.0,88.6006,92.99,84.92,94.0,84.92,2025-06-05 12:53:00,11554
1605.0,85.6481,84.92,84.92,84.92,84.92,2025-06-05 12:54:00,47
1267824.0,81.0111,82.0,78.332,83.0,78.0317,2025-06-05 12:59:00,10054
693728.0,79.4009,78.21,79.5877,81.0,77.45,2025-06-05 13:00:00,6999
497096.0,81.6981,79.5606,80.9597,84.49,79.13,2025-06-05 13:01:00,5623
457678.0,80.3524,80.99,79.27,81.28,79.0,2025-06-05 13:02:00,4880
438661.0,78.2451,79.47,79.2,80.0,76.23,2025-06-05 13:03:00,5213
354330.0,80.9402,79.5,81.26,82.49,78.5,2025-06-05 13:04:00,4179
388636.0,83.1902,81.3069,83.26,84.49,81.01,2025-06-05 13:05:00,4513
497823.0,85.7779,83.45,86.14,87.95,83.1,2025-06-05 13:06:00,5344
316900.0,84.9563,86.05,83.65,86.88,83.15,2025-06-05 13:07:00,4066
218602.0,83.0772,83.68,83.285,83.92,82.33,2025-06-05 13:08:00,2789
258247.0,82.2766,83.4,81.745,83.67,81.0774,2025-06-05 13:09:00,2999
167273.0,81.2304,81.5,80.92,82.11,80.57,2025-06-05 13:10:00,2457
220574.0,82.2215,80.75,82.65,83.39,80.75,2025-06-05 13:11:00,2505
165324.0,81.8293,82.6884,81.45,82.6899,81.01,2025-06-05 13:12:00,2068
391272.0,80.8951,81.49,82.99,83.54,79.9,2025-06-05 13:13:00,3890
161113.0,82.9455,82.875,83.16,83.5,82.15,2025-06-05 13:14:00,1908
363725.0,85.5841,83.11,86.455,87.0,83.0306,2025-06-05 13:15:00,3874
232215.0,86.8224,86.16,85.97,87.87,85.55,2025-06-05 13:16:00,3306
349621.0,87.9462,85.97,89.39,89.76,85.02,2025-06-05 13:17:00,3930
346309.0,89.4969,89.76,89.03,90.5,88.69,2025-06-05 13:18:00,4100
249451.0,88.7557,88.6927,88.383,90.0,87.76,2025-06-05 13:19:00,3200
229551.0,89.0997,88.68,89.78,90.0,88.0,2025-06-05 13:20:00,2681
194192.0,89.3793,89.77,89.45,90.0,88.25,2025-06-05 13:21:00,2804
